# Eye_lean Scene Events Sidecar
# FileVersion: 1.0
# SessionID: 20260503_160712_a22a689f
Frame,T,EventType,ObjectId,Detail
2,133.637300,RandomStateSnapshot,,817039837;733818653;401578410;25258527
0,133.637300,HideInstruction,,
0,133.637300,HideProgress,,
0,133.637300,ConfigExploration,,eyJkdXJhdGlvbiI6MzAuMCwic3RhdGljT2JqZWN0Q291bnQiOjEyLCJkeW5hbWljT2JqZWN0Q291bnQiOjR9
0,133.637300,ConfigVisualSearch,,eyJ0cmlhbENvdW50IjozLCJkaXN0cmFjdG9yQ291bnQiOjE1LCJtYXhUcmlhbER1cmF0aW9uIjoxNS4wLCJ0YXJnZXRBY3F1aXNpdGlvblRpbWUiOjEuNSwibWluRGVwdGgiOjIuMCwibWF4RGVwdGgiOjUuMCwib2JqZWN0U2l6ZSI6MC4yMDAwMDAwMDI5ODAyMzIyNX0=
0,133.637300,ConfigCounting,,eyJkdXJhdGlvbiI6MTAuMCwibWluVGFyZ2V0Q291bnQiOjgsIm1heFRhcmdldENvdW50IjoxMiwibWluRGlzdHJhY3RvckNvdW50Ijo4LCJtYXhEaXN0cmFjdG9yQ291bnQiOjEyLCJvYmplY3RTaXplIjowLjE1MDAwMDAwNTk2MDQ2NDQ5LCJjb2xsZWN0QW5zd2VyIjp0cnVlLCJhbnN3ZXJJbnB1dFRpbWVvdXQiOjEwLjAsImFuc3dlck9wdGlvbnNSYW5nZSI6NCwiYW5zd2VyRHdlbGxUaW1lIjoxLjV9
0,133.637300,ConfigChangeDetection,,eyJ0cmlhbENvdW50IjozLCJvYmplY3RDb3VudCI6MTIsInN0dWR5RHVyYXRpb24iOjguMCwiYmxhbmtEdXJhdGlvbiI6MC41LCJtYXhTZWFyY2hEdXJhdGlvbiI6MTUuMCwiZGV0ZWN0aW9uQWNxdWlzaXRpb25UaW1lIjoxLjAsInBvc2l0aW9uU2hpZnRBbW91bnQiOjAuNSwic2hvd0ZlZWRiYWNrIjp0cnVlLCJmZWVkYmFja0R1cmF0aW9uIjoxLjUsImNvcnJlY3RGZWVkYmFja0NvbG9yIjp7InIiOjAuMCwiZyI6MS4wLCJiIjowLjAsImEiOjEuMH0sImluY29ycmVjdEZlZWRiYWNrQ29sb3IiOnsiciI6MS4wLCJnIjowLjAsImIiOjAuMCwiYSI6MS4wfX0=
57,134.263900,ShowInstruction,,Look at the GREEN sphere to start
58,134.284600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 2.0s...
59,134.314400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
60,134.330700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
61,134.341900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
62,134.352900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
63,134.364200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
64,134.375900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
65,134.386900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
66,134.397500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
67,134.408700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
68,134.419800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
69,134.431400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
70,134.442600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
71,134.453500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
72,134.464500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
73,134.475600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
74,134.486700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
75,134.497800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
76,134.509500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
77,134.520400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
78,134.531300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
79,134.542300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
80,134.553900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
81,134.564500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
82,134.576100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
83,134.587000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
84,134.598000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
85,134.609100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
86,134.620300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
87,134.631600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
88,134.642700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
89,134.654200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
90,134.664800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
91,134.675900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
92,134.687200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
93,134.698200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
94,134.709500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
120,134.999400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 2.0s...
121,135.010100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 2.0s...
122,135.021400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 2.0s...
123,135.032500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 2.0s...
124,135.043500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
125,135.054700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
126,135.066000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
127,135.076800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
128,135.087900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
129,135.099200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
130,135.110400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
131,135.121500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
132,135.132900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.9s...
133,135.143600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
134,135.154900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
135,135.166200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
136,135.177200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
137,135.188200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
